write,serial,1,1000,0.00007412105333060
read,serial,1,1000,0.00000917795114219
write,serial,1,10000,0.00009814603254199
read,serial,1,10000,0.00002882408443838
write,serial,1,100000,0.00051570904906839
read,serial,1,100000,0.00032626895699650
write,serial,1,1000000,0.00754829205106944
read,serial,1,1000000,0.00362663099076599
write,serial,1,10000000,0.08597822394222021
read,serial,1,10000000,0.03782524401322007
write,serial,1,100000000,0.92796355497557670
read,serial,1,100000000,0.35184496396686882
write,serial,1,1000000000,7.25512243597768247
read,serial,1,1000000000,3.00315417605452240
